name,realizable,ltl_model_build_time,model_build_time,composition_time,synthesis_time,diagnosis_time,alphabet_size,guarantees_count,assumptions_count,plant_states,plant_transitions,plant_controllable_transitions,plant_controllable_options,minimization_states,minimization_transitions,minimization_controllable_transitions,minimization_controllable_options,search_method,diagnosis_steps
Lift.Controller.2,true,0.002951,0.000847,0.000000,0.008352,0.000000,8,3,1,9,33,4,19,27,31,4,31,DD,0
Lift.Controller.4,true,0.006500,0.001188,0.000000,0.014631,0.000000,16,5,1,65,763,32,325,325,808,20,808,DD,0
Lift.Controller.6,true,0.016309,0.003560,0.000000,0.103408,0.000000,24,7,1,385,11345,192,4375,2695,16656,96,16656,DD,0
Lift.Controller.8,true,0.147360,0.049812,0.000000,2.482350,0.000000,32,9,1,2049,142551,1024,52489,18441,271214,448,271214,DD,0
Lift.Controller.4,true,0.002878,0.000757,0.000000,0.008289,0.000000,18,5,1,65,763,32,325,325,808,20,808,DD,0
Lift.Controller.6,true,0.014395,0.003536,0.000000,0.090812,0.000000,26,7,1,385,11345,192,4375,2695,16656,96,16656,DD,0
lift.controller.8,true,0.150470,0.048522,0.000000,2.443580,0.000000,32,9,1,2049,142551,1024,52489,18441,271214,448,271214,DD,0
lift.controller.10,true,0.089125,0.019552,0.000000,0.918727,0.000000,40,11,1,1284,60088,832,21871,14124,83235,400,83235,DD,0
Collector.1,true,0.000727,0.000211,0.000000,0.001506,0.000000,8,1,1,7,23,6,12,7,8,4,8,DD,0
Collector.2,true,0.000688,0.000125,0.000000,0.000603,0.000000,10,1,2,21,135,14,74,21,58,10,58,DD,0
Collector.3,true,0.000983,0.000321,0.000000,0.001524,0.000000,14,1,3,73,881,36,540,73,476,28,476,DD,0
Collector.4,true,0.004519,0.002081,0.000000,0.008693,0.000000,18,1,4,273,6099,98,4178,273,3922,82,3922,DD,0
Collector.5,true,0.021753,0.011840,0.000000,0.078652,0.000000,24,1,5,1057,43913,276,33012,1057,31988,244,31988,DD,0
Collector.2,true,0.002199,0.000639,0.000000,0.001317,0.000000,12,1,2,21,135,14,74,21,58,10,58,DD,0
Collector.3,true,0.003583,0.001216,0.000000,0.001383,0.000000,16,1,3,73,881,36,540,73,476,28,476,DD,0
Collector.4,true,0.003896,0.001739,0.000000,0.007986,0.000000,20,1,4,273,6099,98,4178,273,3922,82,3922,DD,0
Collector.5,true,0.021298,0.011701,0.000000,0.076478,0.000000,26,1,5,1057,43913,276,33012,1057,31988,244,31988,DD,0
Collector.6,true,0.168517,0.101167,0.000000,0.836958,0.000000,28,1,6,4161,328523,794,263117,4161,259021,730,259021,DD,0
Exploration.Robot.100,true,0.000000,0.317384,0.000000,0.189516,0.000000,9,2,2,20003,79209,0,79209,40006,79209,0,79209,DD,0
Exploration.Robot.200,true,0.000001,4.154337,0.000000,0.918957,0.000000,9,2,2,80003,318409,0,318409,160006,318409,0,318409,DD,0
Exploration.Robot.300,true,0.000000,18.485558,0.000000,2.739424,0.000000,9,2,2,180003,717609,0,717609,360006,717609,0,717609,DD,0
Exploration.Robot.400,true,0.000000,57.295061,0.000000,5.652751,0.000000,9,2,2,320003,1276809,0,1276809,640006,1276809,0,1276809,DD,0
Exploration.Robot.500,true,0.000000,130.587132,0.000000,9.995672,0.000000,9,2,2,500003,1996009,0,1996009,1000006,1996009,0,1996009,DD,0
Exploration.Robot.600,true,0.000000,262.052468,0.000000,17.234969,0.000000,9,2,2,720003,2875209,0,2875209,1440006,2875209,0,2875209,DD,0
Exploration.Robot.200,true,0.000000,4.305301,0.000000,0.916394,0.000000,11,2,2,80003,318409,0,318409,160006,318409,0,318409,DD,0
AHB.Scheduler.2,true,0.002328,0.000793,0.000000,0.004113,0.000000,12,2,1,57,805,19,441,114,433,18,433,DD,0
AHB.Scheduler.3,true,0.009077,0.003607,0.000000,0.040080,0.000000,18,3,1,321,11393,34,4993,963,6769,46,6769,DD,0
AHB.Scheduler.4,true,0.077483,0.042373,0.000000,0.868159,0.000000,22,4,1,1665,143425,57,51713,6660,89953,88,89953,DD,0
Ahb.arbiter.3,true,0.006677,0.003084,0.000000,0.000004,0.000000,20,0,0,0,0,0,0,0,0,0,0,DD,0
Ahb.arbiter.4,true,0.075155,0.042212,0.000000,0.000000,0.000000,24,0,0,0,0,0,0,0,0,0,0,DD,0
Genbuf.1,true,0.005772,0.000312,0.000000,0.001929,0.000000,22,3,2,48,142,12,72,144,43,12,43,DD,0
Genbuf.2,true,0.479684,0.007480,0.000000,0.106301,0.000000,38,4,4,1925,22673,112,6033,7700,3030,72,3030,DD,0
Genbuf.3,true,4.411484,0.218220,0.000000,3.671113,0.000000,46,5,4,15029,470313,704,58337,75145,22333,310,22333,DD,0
GenBuf.2,true,0.451433,0.007510,0.000000,0.000030,0.000000,40,0,0,0,0,0,0,0,0,0,0,DD,0
GenBuf.3,true,4.386458,0.199146,0.000000,0.000127,0.000000,48,0,0,0,0,0,0,0,0,0,0,DD,0
cat.mouse.1.realizable,true,0.000000,0.001749,0.000000,0.000594,0.000000,7,2,1,28,58,23,48,56,18,7,18,DD,0
cat.mouse.2.realizable,true,0.000000,0.052433,0.000000,0.996214,0.000000,22,4,2,6752,14996,5520,12586,27008,506,168,506,DD,0
airport.tower.2.1.realizable,true,0.000000,0.000977,0.000000,0.000376,0.000000,15,1,2,48,42,8,42,36,42,8,42,DD,0
airport.tower.2.2.realizable,true,0.000000,0.001669,0.000000,0.000407,0.000000,17,1,2,70,50,16,46,49,44,10,44,DD,0
airport.tower.2.3.realizable,true,0.000000,0.002657,0.000000,0.000440,0.000000,19,1,2,96,58,24,50,64,46,12,46,DD,0
airport.tower.3.1.realizable,true,0.000001,0.001982,0.000000,0.000795,0.000000,21,1,3,208,116,12,116,142,116,12,116,DD,0
airport.tower.3.2.realizable,true,0.000000,0.006312,0.000000,0.001023,0.000000,24,1,3,384,128,24,122,242,119,15,119,DD,0
airport.tower.3.3.realizable,true,0.000000,0.012785,0.000000,0.001032,0.000000,27,1,3,632,140,36,128,380,122,18,122,DD,0
airport.tower.4.1.realizable,true,0.000000,0.006612,0.000000,0.001324,0.000000,27,1,4,800,314,16,314,600,314,16,314,DD,0
airport.tower.4.2.realizable,true,0.000000,0.028882,0.000000,0.002320,0.000000,31,1,4,1962,330,32,322,1346,318,20,318,DD,0
airport.tower.4.3.realizable,true,0.000000,0.118507,0.000000,0.004205,0.000000,35,1,4,3968,346,48,330,2584,322,24,322,DD,0
airport.tower.5.1.realizable,true,0.000000,0.035364,0.000000,0.003924,0.000000,33,1,5,2784,832,20,832,2324,832,20,832,DD,0
airport.tower.5.2.realizable,true,0.000000,0.272288,0.000000,0.011081,0.000000,38,1,5,9396,852,40,842,7120,837,25,837,DD,0
airport.tower.5.3.realizable,true,0.000001,1.651910,0.000000,0.027843,0.000000,43,1,5,23808,872,60,852,17752,842,30,842,DD,0
airport.tower.6.1.realizable,true,0.000000,0.227999,0.000000,0.012244,0.000000,39,1,6,8960,2150,24,2150,8064,2150,24,2150,DD,0
airport.tower.6.2.realizable,true,0.000000,2.789115,0.000000,0.061119,0.000000,45,1,6,42606,2174,48,2162,41597,2156,30,2156,DD,0
airport.tower.6.3.realizable,true,0.000000,25.341236,0.000000,0.204511,0.000000,51,1,6,137216,2198,72,2174,127144,2162,36,2162,DD,0
bidding.workflow.1.1.realizable,true,0.000001,0.000580,0.000000,0.000360,0.000000,7,1,1,12,21,6,19,12,16,4,16,DD,0
bidding.workflow.2.1.realizable,true,0.000000,0.000865,0.000000,0.000528,0.000000,10,1,2,83,114,18,110,83,52,10,52,DD,0
bidding.workflow.3.1.realizable,true,0.000000,0.001745,0.000000,0.001199,0.000000,13,1,3,387,434,62,406,387,64,12,64,DD,0
bidding.workflow.4.1.realizable,true,0.000000,0.004975,0.000000,0.003104,0.000000,16,1,4,1407,1166,168,1072,1407,82,15,82,DD,0
bidding.workflow.5.1.realizable,true,0.000000,0.017070,0.000000,0.007483,0.000000,19,1,5,4971,2942,432,2664,4971,94,17,94,DD,0
transfer.line.2.1.realizable,true,0.000000,0.002015,0.000000,0.003089,0.000000,12,1,3,745,2652,809,2400,745,1791,402,1791,DD,0
transfer.line.2.2.realizable,true,0.000000,0.005441,0.000000,0.010654,0.000000,12,1,3,2258,9115,3305,7836,2258,3440,883,3440,DD,0
transfer.line.3.1.realizable,true,0.000000,0.028441,0.000000,0.046899,0.000000,15,1,4,8604,40995,12158,35954,8604,26952,5212,26952,DD,0
transfer.line.3.2.realizable,true,0.000000,0.215129,0.000000,0.297661,0.000000,15,1,4,39648,219849,75777,181435,39648,80674,16593,80674,DD,0
transfer.line.4.1.realizable,true,0.000000,1.149301,0.000000,1.119259,0.000000,18,1,5,98802,596632,172455,511429,98802,382199,64134,382199,DD,0
transfer.line.4.2.realizable,true,0.000000,49.434316,0.000000,14.033438,0.000000,18,1,5,693426,4918884,1637901,3952219,693426,1761686,300999,1761686,DD,0
travel.agency.2.1.realizable,true,0.000001,0.003705,0.000000,0.019102,0.000000,30,1,1,400,440,232,272,400,92,16,92,DD,0
travel.agency.2.2.realizable,true,0.000000,0.004827,0.000000,0.001094,0.000000,32,1,1,464,476,232,308,464,116,16,116,DD,0
travel.agency.2.3.realizable,true,0.000000,0.002668,0.000000,0.001164,0.000000,34,1,1,528,512,232,344,528,140,16,140,DD,0
travel.agency.3.1.realizable,true,0.000000,0.015539,0.000000,0.003872,0.000000,43,1,1,2780,2088,1260,1092,2780,124,20,124,DD,0
travel.agency.3.2.realizable,true,0.000000,0.016655,0.000000,0.003836,0.000000,46,1,1,3236,2172,1260,1176,3236,160,20,160,DD,0
travel.agency.3.3.realizable,true,0.000000,0.016753,0.000000,0.004746,0.000000,49,1,1,3692,2256,1260,1260,3692,196,20,196,DD,0
travel.agency.4.1.realizable,true,0.000000,0.314421,0.000000,0.029592,0.000000,56,1,1,19439,10089,6412,4757,19436,156,24,156,DD,0
travel.agency.4.2.realizable,true,0.000000,0.344870,0.000000,0.034795,0.000000,60,1,1,22638,10262,6408,4933,22621,204,24,204,DD,0
travel.agency.4.3.realizable,true,0.000001,0.374809,0.000000,0.035772,0.000000,64,1,1,25838,10479,6412,5147,25835,252,24,252,DD,0
travel.agency.5.1.realizable,true,0.000000,9.543770,0.000000,0.244606,0.000000,69,1,1,136053,48241,31180,21437,136049,188,28,188,DD,0
travel.agency.5.2.realizable,true,0.000001,10.407676,0.000000,0.254433,0.000000,74,1,1,158461,48604,31180,21800,158428,248,28,248,DD,0
travel.agency.5.3.realizable,true,0.000000,12.151087,0.000000,0.287580,0.000000,79,1,1,180869,48977,31180,22173,180852,308,28,308,DD,0
dining.philosophers.2.1.realizable,true,0.000001,0.002351,0.000000,0.001550,0.000000,15,1,1,200,120,36,102,190,36,8,36,DD,0
dining.philosophers.2.2.realizable,true,0.000000,0.002514,0.000000,0.004954,0.000000,15,1,1,272,144,36,126,260,40,8,40,DD,0
dining.philosophers.2.3.realizable,true,0.000000,0.002808,0.000000,0.001236,0.000000,15,1,1,360,168,36,150,346,44,8,44,DD,0
dining.philosophers.2.4.realizable,true,0.000001,0.003050,0.000000,0.001270,0.000000,15,1,1,464,192,36,174,448,48,8,48,DD,0
dining.philosophers.3.1.realizable,true,0.000000,1.203902,0.000000,0.048172,0.000000,28,1,1,35776,4355,1485,3157,35714,58,12,58,DD,0
dining.philosophers.3.2.realizable,true,0.000000,2.436393,0.000000,0.049622,0.000000,28,1,1,54720,5291,1485,4093,54709,73,12,73,DD,0
dining.philosophers.3.3.realizable,true,0.000000,5.009877,0.000000,0.115093,0.000000,28,1,1,79424,6227,1485,5029,79359,88,12,88,DD,0
dining.philosophers.3.4.realizable,true,0.000000,8.652038,0.000000,0.138269,0.000000,28,1,1,110656,7163,1485,5965,110589,103,12,103,DD,0
